time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,compound_field_current_A,series_field_current_A
0.00038,14.3092539062,10,9.26984338943e-13,4.63492169472e-13,9.99999926984e-13,10,14.3092539062,9.26984338943e-13,1.01911207008e-12,-4.35111666502e-07,7.3015588041e-08,5.08126235431e-07,0,0,0,0,-0.00402944957681,-0.000491862362829,0.00353758721398
0.0004,3.67247123389,10,9.00839894494e-13,4.50419947247e-13,9.9999990084e-13,10,3.67247123389,9.00839894494e-13,9.90369277149e-13,1.78896110901e-07,9.91600063457e-08,-7.97370949247e-08,0,0,0,0,-0.00513161770822,-0.00474339463329,0.000388223074934
0.00042,16.7971630919,10,8.37431782401e-13,4.18715891201e-13,9.99999837432e-13,10,16.7971630919,8.37431782401e-13,9.20659391382e-13,-8.00295609411e-07,1.62568055031e-07,9.62862743783e-07,0,0,0,0,-0.00377165601058,0.000502557327446,0.00427421333803
0.00044,0.602648112534,10,7.63623947177e-13,3.81811973588e-13,9.99999763624e-13,10,0.602648112534,7.63623947177e-13,8.39516212815e-13,7.69788242079e-08,2.36375816448e-07,1.59396152723e-07,0,0,0,0,-0.00544970836828,-0.00597040588968,-0.000520697521392
0.00046,20.585007948,10,6.17994675884e-13,3.08997337942e-13,9.99999617995e-13,10,20.585007948,6.17994675884e-13,6.79413671816e-13,-1.50414568287e-06,3.82004942111e-07,1.88614994557e-06,0,0,0,0,-0.00337916497357,0.00201656255992,0.00539572753349
0.00048,-4.07116144609,10,4.33065014615e-13,2.16532507308e-13,9.99999433066e-13,10,-4.07116144609,4.33065014615e-13,4.76104897334e-13,-3.08164997559e-07,5.6693441845e-07,8.75098939904e-07,0,0,0,0,-0.00593400179483,-0.00783853206674,-0.00190453027191
0.0005,26.352006498,10,1.02654643598e-13,5.13273217989e-14,9.99999102656e-13,10,26.352006498,1.02654643598e-13,1.12856908089e-13,-2.92985663841e-06,8.97344459058e-07,3.82720098461e-06,0,0,0,0,-0.00278159687587,0.00432163742828,0.00710323430415
0.00052,-11.1870423688,10,-3.42931762869e-13,-1.71465881434e-13,9.9999865707e-13,10,-11.1870423688,-3.42931762869e-13,-3.77013811421e-13,-1.43689014496e-06,1.34293041994e-06,2.77982094191e-06,0,0,0,0,-0.00667133914463,-0.0106827565172,-0.00401141737257
0.00054,35.1322690327,10,-1.09453808433e-12,-5.47269042167e-13,9.99997905464e-13,10,35.1322690327,-1.09453808433e-12,-1.20331803467e-12,-5.92885180541e-06,2.0945359898e-06,8.02338899853e-06,0,0,0,0,-0.00187179869656,0.00783111681023,0.00970291550679
0.00056,-22.02098001,10,-2.15040870911e-12,-1.07520435455e-12,9.99996849594e-13,10,-22.02098001,-2.15040870911e-12,-2.36412566965e-12,-4.41868031738e-06,3.1504055587e-06,7.56908824021e-06,0,0,0,0,-0.00779393618564,-0.0150130918149,-0.00721915562927
0.00058,48.5002297685,10,-3.86863680453e-12,-1.93431840227e-12,9.99995131368e-13,10,48.5002297685,-3.86863680453e-12,-4.25311873849e-12,-1.24199550178e-05,4.8686319359e-06,1.72885912068e-05,0,0,0,0,-0.000486629825997,0.0131743035766,0.0136609334026
0.0006,-38.5156636745,10,-6.34933571264e-12,-3.17466785632e-12,9.99992650672e-13,10,-38.5156636745,-6.34933571264e-12,-6.98036028214e-12,-1.18908942817e-05,7.34932836331e-06,1.92402296253e-05,0,0,0,0,-0.00950309159039,-0.0216060327439,-0.0121029411535
0.00062,68.8529667768,10,-1.02941680572e-11,-5.14708402862e-12,9.99988705843e-13,10,68.8529667768,-1.02941680572e-11,-1.13172472045e-11,-2.67684626954e-05,1.12941567631e-05,3.80626307757e-05,0,0,0,0,0.001622291519,0.0213093121386,0.0196870206196
0.00064,-63.6288402685,10,-1.60937532754e-11,-8.04687663768e-12,9.99982906264e-13,10,-63.6288402685,-1.60937532754e-11,-1.76932203995e-11,-3.00674724423e-05,1.70937361816e-05,4.71612263171e-05,0,0,0,0,-0.0121052828405,-0.0316437935879,-0.0195385107474
0.00066,99.8400344317,10,-2.51790105896e-11,-1.25895052948e-11,9.99973821016e-13,10,99.8400344317,-2.51790105896e-11,-2.7681410059e-11,-5.89680492376e-05,2.61789844106e-05,8.51470613296e-05,0,0,0,0,0.00483312691522,0.0336948728906,0.0288617459753
0.00068,-101.863683171,10,-3.86967593208e-11,-1.93483796604e-11,9.9996030328e-13,10,-101.863683171,-3.86967593208e-11,-4.25426113905e-11,-7.35058883277e-05,3.96967196241e-05,0.000113202650494,0,0,0,0,-0.0160671222868,-0.0469262970788,-0.030859174792
0.0007,147.017883851,10,-5.96661379962e-11,-2.98330689981e-11,9.99939333923e-13,10,147.017883851,-5.96661379962e-11,-6.55960180257e-11,-0.000131994022691,6.06660773301e-05,0.000192660165617,0,0,0,0,0.00972162783827,0.0525519046897,0.0428302768514
0.00072,-160.076279507,10,-9.1112927841e-11,-4.55564639205e-11,9.99907887164e-13,10,-160.076279507,-9.1112927841e-11,-1.00168126474e-10,-0.000176184517789,9.21128357282e-05,0.000268297453685,0,0,0,0,-0.0220990278193,-0.0701939278361,-0.0480949000169
0.00074,218.84621884,10,-1.39582180163e-10,-6.97910900814e-11,9.9985941796e-13,10,218.84621884,-1.39582180163e-10,-1.53454463679e-10,-0.000298814154965,0.000140582039581,0.000439396348,0,0,0,0,0.0171643766328,0.0812617592853,0.0640973826525
0.00076,-248.705030534,10,-2.12647099579e-10,-1.06323549789e-10,9.99786353114e-13,10,-248.705030534,-2.12647099579e-10,-2.33780892237e-10,-0.000417222055313,0.000213646885932,0.000630869175026,0,0,0,0,-0.0312826115675,-0.105618924885,-0.0743363133171
0.00078,328.204949066,10,-3.24788951879e-10,-1.62394475939e-10,9.99674211374e-13,10,328.204949066,-3.24788951879e-10,-3.57067889049e-10,-0.000681768097228,0.00032578862609,0.00100755708039,0,0,0,0,0.0284959710194,0.124972548962,0.0964765779428
0.0008,-383.642415277,10,-4.94414196832e-10,-2.47207098416e-10,9.99504586299e-13,10,-383.642415277,-4.94414196832e-10,-5.43551227828e-10,-0.000980559303316,0.000495413701419,0.00147597354829,0,0,0,0,-0.0452646293573,-0.159553527379,-0.114288898022
0.00082,494.703753172,10,-7.5403966984e-10,-3.7701983492e-10,9.99244961085e-13,10,494.703753172,-7.5403966984e-10,-8.28979408356e-10,-0.00156377033216,0.000755038914801,0.00231881007594,0,0,0,0,0.0457483377037,0.191522281139,0.145773943435
0.00084,-589.084753007,10,-1.14762842894e-09,-5.73814214469e-10,9.9885137272e-13,10,-589.084753007,-1.14762842894e-09,-1.26168472838e-09,-0.00229339950701,0.00114862728031,0.003442028049,0,0,0,0,-0.0665522690015,-0.24166902741,-0.175116758409
0.00086,748.19839152,10,-1.74895484646e-09,-8.74477423229e-10,9.98250046903e-13,10,748.19839152,-1.74895484646e-09,-1.9227735779e-09,-0.00359959938468,0.00174995309651,0.00534955440396,0,0,0,0,0.0720150876467,0.292844331954,0.220829244308
0.00088,-901.870970205,10,-2.66189995408e-09,-1.33094997704e-09,9.97337102709e-13,10,-901.870970205,-2.66189995408e-09,-2.92645113685e-09,-0.00534726267,0.00266289729118,0.00801016288764,0,0,0,0,-0.0989627270937,-0.366689979332,-0.267727252238
0.0009,1134.14429675,10,-4.05503751457e-09,-2.02751875729e-09,9.95943966541e-13,10,1134.14429675,-4.05503751457e-09,-4.45804476096e-09,-0.00830548542283,0.00405603345854,0.0123615233394,0,0,0,0,0.112006247422,0.447107281565,0.335101034143
0.00092,-1378.0883787,10,-6.17217055514e-09,-3.08608527757e-09,9.93826835618e-13,10,-1378.0883787,-6.17217055514e-09,-6.78558768155e-09,-0.0124424183747,0.00617316438197,0.0186155895423,0,0,0,0,-0.148307690242,-0.557034535639,-0.408726845397
0.00094,1721.74742216,10,-9.40034597743e-09,-4.70017298871e-09,9.90598663424e-13,10,1721.74742216,-9.40034597743e-09,-1.0334593203e-08,-0.0191937007638,0.00940133657609,0.0285950476744,0,0,0,0,0.172892838402,0.681972816077,0.509079977675
0.00096,-2103.12998118,10,-1.43092779092e-08,-7.15463895461e-09,9.85689736401e-13,10,-2103.12998118,-1.43092779092e-08,-1.57313961183e-08,-0.0289138321679,0.014310263599,0.0432241114983,0,0,0,0,-0.223435458603,-0.846834361659,-0.623398903055
0.00098,2616.37391852,10,-2.17904983456e-08,-1.08952491728e-08,9.78208523446e-13,10,2616.37391852,-2.17904983456e-08,-2.39561327458e-08,-0.0444021281085,0.0217914765541,0.0661936286188,0,0,0,0,0.265592749634,1.03955588733,0.773963137692
