time_s,terminal_1_voltage_v,terminal_1_current_a,terminal_power_kw,supplied_energy_j,maximum_network_kcl_residual_a
0,0,0,0,0,0
1e-05,1.0788254096,-0.225255506522,0.0429646189675,0.000107411547419,1.00475183729e-14
2e-05,2.62280945213,-0.683102731896,0.103390859327,0.000843928898972,2.60902410787e-15
3e-05,4.11331364756,-1.11423483801,0.179144958165,0.00226124610891,2.6645352591e-15
4e-05,5.60195614875,-1.54447330221,0.229982117704,0.00431112500211,3.10862446895e-15
5e-05,7.04421893077,-1.95157151148,0.293700781799,0.00693369542067,2.77555756156e-15
6e-05,8.47811541235,-2.35454857268,0.33727543816,0.0100923747608,3.5527136788e-15
7e-05,9.87630253469,-2.73974535145,0.389315104877,0.0137290467157,3.5527136788e-15
8e-05,11.2565834349,-3.11607580846,0.42747571723,0.0178164021905,1.7763568394e-15
9e-05,12.6139301315,-3.48103834167,0.468449749611,0.022299355024,3.5527136788e-15
0.0001,13.9424728292,-3.83171043814,0.502481686554,0.0271570619678,1.33226762955e-15
0.00011,15.2611504518,-4.17757394017,0.53334387029,0.0323391616772,2.6645352591e-15
0.00012,16.540657936,-4.5039886916,0.563947734013,0.0378283586699,1.33226762955e-15
0.00013,17.8217813035,-4.83136007336,0.586005416544,0.0435807793515,2.6645352591e-15
0.00014,19.0557165413,-5.13529844309,0.61334399188,0.0495799895013,3.5527136788e-15
0.00015,20.2994922347,-5.44433045141,0.628201113403,0.0557900853598,3.5527136788e-15
0.00016,21.4918788094,-5.72785366215,0.652009741037,0.0621933553741,3.10862446895e-15
0.00017,22.6978735099,-6.01837904117,0.66145033763,0.0687627699811,3.5527136788e-15
0.00018,23.85299305,-6.28367728133,0.681195804725,0.0754779919086,1.7763568394e-15
0.00019,25.0204830098,-6.55538350014,0.687027290557,0.0823209911731,3.5527136788e-15
0.0002,26.1425153206,-6.8045959821,0.702092901934,0.0892683778357,3.5527136788e-15
0.00021,27.2708658476,-7.05721496917,0.705974240118,0.0963103912569,2.6645352591e-15
0.00022,28.363526218,-7.29224857478,0.715844691765,0.10342108336,2.6645352591e-15
0.00023,29.4525454672,-7.52573360599,0.719126576045,0.110597435247,3.10862446895e-15
0.00024,30.5187740651,-7.74810757649,0.723546205543,0.117812225279,3.5527136788e-15
0.00025,31.5689891431,-7.96277131951,0.727148313817,0.125067034528,2.6645352591e-15
0.00026,32.610739682,-8.17351158126,0.726230252914,0.132335199073,3.5527136788e-15
0.00027,33.6235545263,-8.37010502751,0.730574832547,0.139620423578,3.5527136788e-15
0.00028,34.6417146342,-8.56970436831,0.72484593198,0.146898660918,2.6645352591e-15
0.00029,35.6194266213,-8.7494251293,0.72985832842,0.15417326137,3.5527136788e-15
0.0003,36.6138827623,-8.93787565187,0.720234342566,0.161424734655,3.5527136788e-15
0.00031,37.5595559218,-9.10230455833,0.725410898315,0.168653932878,3.5527136788e-15
0.00032,38.529394241,-9.27919809476,0.71310683856,0.175847420479,1.7763568394e-15
0.00033,39.4466081891,-9.43017365605,0.717640400644,0.183002029604,3.5527136788e-15
0.00034,40.3904224488,-9.5948557283,0.70403060407,0.190111183552,3.5527136788e-15
0.00035,41.2829345551,-9.73430520774,0.70697520952,0.197166991212,2.6645352591e-15
0.00036,42.1991964258,-9.88606016542,0.693425064343,0.204169702097,3.5527136788e-15
0.00037,43.0705675425,-10.0158124374,0.693875518015,0.211106892963,2.6645352591e-15
0.00038,43.9580052547,-10.1540527762,0.681570833803,0.217984756013,3.5527136788e-15
0.00039,44.811244684,-10.2756608022,0.678830720901,0.22478736578,1.7763568394e-15
0.0004,45.6691748162,-10.4000930499,0.668630844416,0.231525238651,3.5527136788e-15
0.00041,46.506457266,-10.5146923488,0.662344346661,0.238180637312,3.5527136788e-15
0.00042,47.3350214056,-10.6254353883,0.654681319586,0.244766276235,3.5527136788e-15
0.00043,48.1575179397,-10.7336595038,0.644909739605,0.251264683373,3.5527136788e-15
0.00044,48.9577900775,-10.8312982629,0.639748678657,0.25768844141,2.6645352591e-15
0.00045,49.7656381001,-10.9332637481,0.626980968654,0.264022479726,1.7763568394e-15
0.00046,50.539587784,-11.0188307685,0.623847516881,0.270277049536,3.5527136788e-15
0.00047,51.332004446,-11.1141938816,0.608944067631,0.276441344447,1.7763568394e-15
0.00048,52.0823220837,-11.189081963,0.607014633204,0.282521528381,2.6645352591e-15
0.00049,52.8578442288,-11.2771586328,0.591093585337,0.288512361172,2.6645352591e-15
0.0005,53.5876553042,-11.3429779333,0.58933467262,0.294414853834,3.5527136788e-15
0.00051,54.3444703513,-11.4229091929,0.573618543921,0.300229873654,2.6645352591e-15
0.00052,55.0569816822,-11.4813103508,0.570954195101,0.305953045854,1.7763568394e-15
0.00053,55.7933004446,-11.5522487396,0.556600393715,0.311591042223,3.5527136788e-15
0.00054,56.4914315388,-11.6047385432,0.552082677358,0.317134720144,1.7763568394e-15
0.00055,57.2058478957,-11.6660279356,0.540023644209,0.322595453267,3.5527136788e-15
0.00056,57.8919024742,-11.7138050784,0.532980845093,0.327960691845,3.5527136788e-15
