time_s,N1_v_pu,output_fixed_1_pu
0,3.06161699787e-17,3.06161699787e-17
0.1,-0.0587785252292,-0.0587785252292
0.2,-0.0951056516295,-0.0951056516295
0.3,-0.0951056516295,-0.0951056516295
0.4,-0.0587785252292,-0.0587785252292
0.5,1.53455550479e-14,1.53455550479e-14
