time_s,source_value,observed_value,transducer_value,held_value
1e-05,0.269342949931,0.0224078993287,0.000346539037101,0
2e-05,0.525896993721,0.0512087014173,0.00147430415948,0
3e-05,0.79158409272,0.0754398752974,0.00338732899543,0
4e-05,1.05073233624,0.102935826046,0.0060411458239,0
5e-05,1.314537902,0.128096914589,0.00942722305729,0
6e-05,1.57499452524,0.154924723149,0.0135125789791,0
7e-05,1.83781979829,0.180558905481,0.018282901259,0
8e-05,2.09892296507,0.207043289634,0.0237116927621,0
9e-05,2.36122323063,0.232916723198,0.0297822870136,0
0.0001,2.62262982816,0.259223039829,0.0364720791834,0
0.00011,2.8846325845,0.285215776475,0.0437637624582,0
0.00012,3.14616230064,0.311427983179,0.0516372648857,0
0.00013,3.40797869665,0.337478250599,0.0600754804696,0
0.00014,3.66953437692,0.363638727435,0.0690601425836,0
0.00015,3.93121613318,0.389714468891,0.0785747435508,0.00942722305729
0.00016,4.19274310034,0.41584435882,0.0886024192935,0.00942722305729
0.00017,4.4543115838,0.44192869604,0.0991274333026,0.00942722305729
0.00018,4.71577685908,0.468038294562,0.110134089059,0.00942722305729
0.00019,4.97723793421,0.494122102404,0.12160748116,0.00942722305729
0.0002,5.23861962399,0.520216164469,0.133532933141,0.0364720791834
0.00021,5.49997123878,0.54629427818,0.145896374696,0.0364720791834
0.00022,5.76125311364,0.572374728902,0.158684048272,0.0364720791834
0.00023,6.02248917457,0.598444006856,0.171882695695,0.0364720791834
0.00024,6.28365790053,0.624511326133,0.185479402433,0.0364720791834
0.00025,6.54477025214,0.650569660323,0.199461687235,0.0785747435508
0.00026,6.80581397662,0.676623590097,0.213817417072,0.0785747435508
0.00027,7.06679341275,0.702669400731,0.228534847583,0.0785747435508
0.00028,7.32770104253,0.728709306274,0.243602574453,0.0785747435508
0.00029,7.58853782309,0.754741283635,0.259009549055,0.0785747435508
0.0003,7.84929865565,0.780766338101,0.274745048758,0.133532933141
0.00031,8.1099827708,0.806783310722,0.290798680207,0.133532933141
0.00032,8.37058630624,0.832792589439,0.307160359589,0.133532933141
0.00033,8.63110761149,0.858793456775,0.323820309888,0.133532933141
0.00034,8.89154345667,0.884785985427,0.340769046522,0.133532933141
0.00035,9.15189174211,0.910769683499,0.357997371784,0.199461687235
0.00036,9.41214956184,0.936744462753,0.375496363479,0.199461687235
0.00037,9.67231458768,0.962709946609,0.393257368192,0.199461687235
0.00038,9.93238408005,0.988665964719,0.411271991696,0.199461687235
0.00039,10.192355595,1.0146121995,0.429532091855,0.199461687235
0.0004,10.4522264789,1.04054843876,0.448029770176,0.274745048758
0.00041,10.7119942297,1.06647439516,0.466757364743,0.274745048758
0.00042,10.9716562388,1.09238983522,0.485707442567,0.274745048758
0.00043,11.2312099754,1.11829448716,0.504872792749,0.274745048758
0.00044,11.4906528549,1.14418810676,0.524246419446,0.274745048758
0.00045,11.7499823332,1.17007043028,0.543821535337,0.357997371784
0.00046,12.009195839,1.1959412081,0.563591555097,0.357997371784
0.00047,12.2682908224,1.22180018073,0.583550089212,0.357997371784
0.00048,12.5272647202,1.24764709593,0.603690937882,0.357997371784
0.00049,12.7861149808,1.27348169647,0.624008085189,0.357997371784
0.0005,13.0448390462,1.29930372889,0.644495693388,0.448029770176
0.00051,13.3034343653,1.32511293726,0.665148097419,0.448029770176
0.00052,13.5618983843,1.35090906762,0.685959799559,0.448029770176
