time_s,node_voltage_v,branch_current_a,capacitor_voltage_v,stored_energy_j
0,120,0,0,0
2.5e-05,119.843272468,0.195909415617,0.0246582948515,0.000287884145032
5e-05,119.692954917,0.38380635326,0.0972871168867,0.00110527811518
7.5e-05,119.548849157,0.563938553858,0.215914451204,0.00238753114647
0.0001,119.410762486,0.736546892505,0.378629378532,0.00407592794676
0.000125,119.278507561,0.901865549138,0.583580439289,0.00611723932187
0.00015,119.151902226,1.06012221783,0.828973772422,0.00846330325129
0.000175,119.030769383,1.21153827073,1.11307155496,0.0110706337751
0.0002,118.91493689,1.35632888774,1.43419066043,0.0139000555304
0.000225,118.804237426,1.49470321779,1.79070113763,0.0169163633478
0.00025,118.698508338,1.62686457786,2.1810244769,0.0200880060487
0.000275,118.597591525,1.75301059414,2.60363225009,0.0233867911185
0.0003,118.501333319,1.87333335082,3.0570447084,0.0267876099422
0.000325,118.409584371,1.98801953566,3.5398294139,0.0302681821701
0.00035,118.322199548,2.09725056482,4.05060003679,0.0338088175203
0.000375,118.239037808,2.20120274015,4.58801490733,0.0373921953138
0.0004,118.159962102,2.300047373,5.15077586589,0.0410031589863
0.000425,118.084839261,2.39395092348,5.73762695383,0.0446285258333
0.00045,118.013539893,2.48307513344,6.34735320411,0.0482569105222
0.000475,117.945938287,2.56757714085,6.97877955503,0.0518785610105
0.0005,117.881912303,2.6476096211,7.63076955329,0.055485207492
0.0005,117.881912303,2.6476096211,7.63076955329,0.055485207492
0.000525,117.821343256,2.72332092981,8.30222420457,0.0590699229878
0.00055,117.764115861,2.7948551738,8.99208117527,0.0626269920122
0.000575,117.710118628,2.86235171523,9.69931633701,0.0661517669327
0.0006,117.659242047,2.92594744175,10.4229330883,0.0696406399474
0.000625,117.611381051,2.98577368601,11.1619757662,0.0730908189307
0.00065,117.56643281,3.04195898775,11.9155166115,0.0765003354297
0.000675,117.524297849,3.09462768852,12.6826617251,0.0798678994008
0.0007,117.484879539,3.14390057596,13.4625476077,0.0831928406408
0.000725,117.448083898,3.18989512802,14.2543396316,0.086475041875
0.00075,117.413819683,3.23272539665,15.0572321531,0.0897148631818
0.000775,117.381998347,3.27250206643,15.8704478197,0.092913079011
0.0008,117.352534033,3.30933245885,16.6932371232,0.0960708182066
0.000825,117.325343349,3.34332081415,17.5248767023,0.0991895206689
0.00085,117.300345364,3.37456829562,18.3646689498,0.102270887145
0.000875,117.277461473,3.40317315816,19.2119408362,0.105316840118
0.0009,117.256615415,3.42923073084,20.0660436776,0.108329480984
0.000925,117.237733147,3.45283356613,20.9263520505,0.111311057772
0.00095,117.220742868,3.47407141531,21.7922635946,0.114263929119
0.000975,117.205574897,3.49303137819,22.6631979731,0.117190538686
0.001,117.192161658,3.50979792781,23.5385964213,0.120093387279
