time_s,phase_a_voltage_v,phase_b_voltage_v,phase_c_voltage_v,shaft_speed_rad_s
0,100,-50,-50,188.495559215
2e-05,99.9998374821,-49.9998142746,-50.0000232075,188.495554305
2e-05,99.9998374821,-49.9998142746,-50.0000232075,188.495554305
5e-05,99.9995930596,-49.9995367322,-50.0000563274,188.495544672
5e-05,99.9995930596,-49.9995367322,-50.0000563274,188.495544672
7e-05,99.9994297059,-49.9993524076,-50.0000772983,188.495536727
7e-05,99.9994297059,-49.9993524076,-50.0000772983,188.495536727
7e-05,99.9994297059,-49.9993524076,-50.0000772983,188.495536727
0.0001,99.9991841132,-49.9990769872,-50.000107126,188.495522503
